V1_0,beta1,beta2,beta3,gamma12,gamma21,gamma23,gamma32
2.3962736202968578,-4.83034356500911,-5.41159573549881,-6.361640805059364,-0.30875747221695926,-1.9997165862947472,-0.5721329299735726,-3.126161323811335
2.4189569654190297,-4.871009992032074,-6.999459621576043,-6.454747766125867,-0.46310994427674035,-1.621342888071035,-0.35494163936220924,-3.1766126662682463
2.255587446637959,-4.827519809257021,-4.0066818679877105,-6.5429769462248775,-0.3228843977224221,-3.4251167823158384,-0.23901415357025074,-2.2241279796673927
4.0057803780408845,-5.027299178421255,-6.369632923875435,-4.215923455291535,-2.191681358857725,0.942382613609117,-2.270345215717931,0.9956721825407632
3.6079626023428157,-5.024540293691845,-4.88199833034863,-4.224280836610331,-1.8014792699558495,0.9005083517332586,-2.1444556589797856,0.9960354308164441
2.1283902478461405,-4.799274791521185,-5.911649668255036,-6.438372444618331,-0.2608982141561586,-1.6828172057828483,-0.43094595502378574,-1.400732272338474
1.7433403823435687,-4.767105606038483,-5.342846887386652,-6.993157540318471,-0.17323806171153439,-0.29840608246951134,0.3438727974783373,-0.3497060331956482
1.6980088015101251,-4.783239626369108,-4.9271888301126365,-6.838986904549572,-0.26191975994115513,-0.6201041762453466,0.024913590509197725,-3.531810516897777
2.3588414755565545,-4.865672653637524,-6.486147222906205,-6.502363475291577,-0.4518395218662016,-1.9187030619885812,-0.2650773223230021,-2.3668433075094444
1.9966567831844402,-4.8211935273055095,-5.527963564203294,-6.988509745723128,-0.2928989915478404,-1.822757571874448,0.16035770032420113,-2.10946885888997
2.028669569610446,-4.780860052244445,-5.839567278064172,-6.865804144614944,-0.13670139378453236,-1.7491363576131063,0.06860730355281917,-1.8166413618899484
2.463775681746025,-4.883317751155342,-5.391180696457368,-6.655576029785471,-0.45080972361583443,-0.9537282875431122,-0.03472200818596595,-1.2285076565918216
2.0235280660630894,-4.837265833949439,-6.534733947875597,-6.86789313754396,-0.3825617358358794,-2.877255054740682,0.089343725037098,-1.263838694320467
2.3457917194953053,-4.863173862829631,-4.053218077806992,-6.627945482694276,-0.4264964540970672,-3.069425301042492,-0.086801410021029,-1.3501338371687663
2.8067620185472526,-4.901999796268182,-6.412073537052351,-6.412620687730838,-0.5253547688006317,-1.9431300046046718,-0.26858829811290524,-1.2089821508673764
3.603510147219199,-5.025923268272069,-5.456482888019241,-4.2056446849849065,-1.77805259832654,0.9045092677398501,-2.451192198905828,0.9998593023871564
